Badge Name,Category,Type,Description,Completion Rules,Requirements
Animal Friend,Activity Badges,Activity,Learn how to care for the many wonderful animals we share our world with,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Learn how to care for an animal.
2. 2. Help to take care of that animal for four weeks.
3. 3. Keep a note of how you have looked after the animal for four weeks.
4. 4. Tell others in your Colony or Lodge about the animal."
Book Reader,Activity Badges,Activity,"They're just words, but put them in the right order, and they become stories",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Design a cover for your favourite book.
2. 2. Read at least six books.
3. 3. Show that you know how to look after a book.
4. 4. Make a bookmark and explain what bookmarks are for."
Builder,Activity Badges,Activity,Explore your imagination by designing a concept model and bring it to life.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Design a model of something you would like to build. The design can be on paper or a computer.
2. 2. Make a list of all the things you are going to need to build your idea.
3. 3. Build your idea using the things you need. Your model could be made using building blocks, gears or recycled items such as toilet roll tubes or cardboard boxes.
4. 4. Explain to your Lodge Leader, Explorer Scout Young Leader or Beaver Leader how long your build took to finish, if anything went wrong and what you would change if you built it again."
Camp Craft,Activity Badges,Activity,"It's time for a camp trip! From tents to fire building, here's your ticket to becoming a crafty camper.",Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Help to put up a tent.
2. 2. Collect wood and help to build a fire.
3. 3. Cook on a fire or barbeque.
4. 4. Learn how to tie a reef knot.
5. 5. Take part in a small pioneering project.
6. 6. Start your own camp blanket.
7. 7. Visit a Cub, Scout or Group camp."
Collector,Activity Badges,Activity,"For thousands of years, people have collected artefacts, objects, and treasures. Now it's your turn.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Spend at least six weeks making a collection.
2. 2. Show your Colony or Lodge a sample of things from your collection.
3. 3. Tell others in your Colony or Lodge about your collection."
Communicator,Activity Badges,Activity,"Listen up! from simple phone calls to secret codes, Scouts are fantastic communicators.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Learn how to make a phone call.
2. 2. Learn your phone number.
3. 3. Learn how to send an email or text message.
4. 4. Spell your name in Morse code, semaphore, the phonetic alphabet, or using pictures and symbols.
5. 5. Try to work out a simple message given to you in Morse code, semaphore, the phonetic alphabet, or using pictures and symbols."
Cook,Activity Badges,Activity,Discover how to whip up the tastiest food for you and your friends. Ready. Steady. Cook.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Find out what makes a balanced diet.
2. Find out about why being clean in the kitchen is important.
3. Learn about being safe in the kitchen.
4. Choose three dishes to prepare and cook."
Creative,Activity Badges,Activity,"Dance. Paint. Build. Whatever you create, your imagination can conquer the world.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Do a performance.
2. 2. Try a craft.
3. 3. Construct something.
4. 4. Use your imagination."
Cyclist,Activity Badges,Activity,"With the wind in your hair and feet in your shoes, you can steer yourself in any direction you choose. Helmets at the ready!",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Find out why it’s important to wear safety equipment like a helmet, reflective clothing and lights.
2. 2. Show how to put on and wear a cycle helmet correctly.
3. 3. Show how to pump up a tyre.
4. 4. Go for a short ride in a safe place."
Disability Awareness,Activity Badges,Activity,Get ready to explore and learn about disability.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Different disabilities
2. Equipment and adaptations
3. Communication and support
4. Real world skills and knowledge"
Experiment,Activity Badges,Activity,"Volcano eruptions, slime, and rainbow flowers. Welcome to the world of scientific experiments",Complete ALL 2 requirements,"Complete ALL of the following:
1. Do three experiments.
2. After you do your experiments, tell other Beavers what you saw and discovered."
Explore,Activity Badges,Activity,"Whether you're a Beaver or spaceman like Tim Peake, Scouts are explorers. Get your maps ready!",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Decide where to explore.
2. 2. Think about what you expect to find.
3. 3. Go on the exploration.
4. 4. Tell other Beavers what you have discovered."
Faith,Activity Badges,Activity,"Whatever your beliefs, join us to celebrate what's important to you.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Write a prayer or reflection.
2. Read or share a prayer or reflection.
3. Find and tell a story about doing your best and helping other people.
4. Visit a place of worship and tell other Beaver Scouts about your visit."
Gardener,Activity Badges,Activity,"With a splash of water and a ray of sunshine, you can grow flowers, plants and trees. Bring the forest home.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Find out what happens to trees in each of the four seasons.
2. 2. Learn what tools you need to garden and how to use some of the tools safely.
3. 3. Find out what plants need to grow.
4. 4. Help to look after a garden or allotment for two months.
5. 5. Keep a record of what you have done and the changes you see."
Global Issues,Activity Badges,Activity,"Help make the world a better place, learn about important global issues and play your part in helping change the world.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Identify where your clothing or other belongings have been made.
2. 2. Investigate a recent natural disaster by looking at photos, news articles or videos online.
3. 3. Find out about an international sporting event and discuss with your Troop how sporting events can contribute to international peace and understanding.
4. 4. In small groups, learn about an international health issue and use a creative way to share what you have learnt with your Troop.
5. 5. Think about the rights that we have in the UK (like the right to vote, the right to go to school and equal gender rights)."
Health and Fitness,Activity Badges,Activity,"Eating healthily and to staying active, helps Scouts be at their very best.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Take part in three agility activities.
2. 2. Learn about a variety of healthy foods and make a snack for yourself using some of these foods.
3. 3. Monitor heartbeat before and after completing a range of different physical activities and understand the reasons for change.
4. 4. Promote healthy eating and exercise to others."
Hobbies,Activity Badges,Activity,"It's confident individuals that make our Scout pack strong, so let's celebrate our individuality.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Choose a hobby to take part in for at least six weeks.
2. 2. Show that you have stuck with your hobby.
3. 3. Show and tell the Colony, your Lodge or leaders about your chosen hobby."
International,Activity Badges,Activity,"At Scouts, we are proud of our international identity, so let's celebrate and learn more about our world.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Learn a song, play a game or perform a dance from another country.
2. 2. Find out about Beaver Scouts, or younger Scouts if they don’t have Beaver Scouts, in another country.
3. 3. Play a game to match flags and their countries.
4. 4. Try different kinds of food from another country.
5. 5. Learn how to say hello and goodbye in a language other than your own."
Money Skills,Activity Badges,Activity,Learn how to be confident in decisions around money.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Learn about how money is used online.
2. 2. Learn how to budget and make smart choices with your money.
3. 3. Find out how saving and borrowing money works.
4. 4. Explore how money can affect your feelings and wellbeing."
Photographer,Activity Badges,Activity,"How do you see the world? Grab a camera, take some photos, and share your vision.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Show how to use a camera to take a good photograph.
2. 2. Take 10 or more photos and show these to your Lodge or an adult.
3. 3. Make something using photos you have taken."
Safety,Activity Badges,Activity,"Everyone wants to get out there and explore, but before you can do that, you need to learn how to stay safe and sound.",Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Tell others what the Green Cross Code is about.
2. 2. Tell others what the Water Safety Code is about.
3. 3. Say what you should do if a stranger walks over to you and tries to talk to you.
4. 4. Point out dangers around the home or at your meeting place.
5. 5. Tell others what you should do if there is a fire.
6. 6. Find out how to call the emergency services.
7. 7. Tell others what you should do at a roadside and at a railway level crossing."
Space,Activity Badges,Activity,"Get ready to explore the stars, planets and beyond. Got your space suit on? Good, Let’s go...",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Find out what Earth looks like from space; the shapes of the continents, oceans, forests and cities.
2. 2. Discover what makes our planet special and how it helps humans, animals and plants survive.
3. 3. Find out what it’s like living on the International Space Station.
4. 4. Explore how different types of rockets have been used over the years to get people and objects into space.
5. 5. Explore the planets in our solar system."
Sports,Activity Badges,Activity,All sports stars started somewhere. How far can you go?,Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Play a team sport with the Beavers in your Colony.
2. 2. Understand the rules of that sport.
3. 3. Take part in a sport or physical activity regularly for at least six weeks.
4. 4. Take part in a match, competition, show or pass an exam or achieve a grading for that sport.
5. 5. Show your Lodge, Colony or Explorer Scout Young Leader the skills you have learnt and the equipment you need for your sport."
Chief Scout's Bronze Award,Challenge Awards,Top Award,"This is the highest award a Beaver can earn. To earn it, you’ll need complete all of the challenge awards, as well as any four activity badges of your choice (including staged activity badges)",Complete 6 prerequisite badges + 4 activity badges,"PREREQUISITE BADGES (all required):
1. My Adventure
2. My Outdoors
3. Personal
4. My Skills
5. Teamwork
6. My World

PLUS 4 Activity or Staged Activity Badges of your choice"
My Adventure,Challenge Awards,Challenge Award,Gaze up at the stars! Fly a kite! Blaze a trail! This award is all about having adventures wherever you are,Complete ALL 4 requirements,"Complete ALL of the following:
1. Try two adventurous activities.
2. Take part in six other outside activities
3. Go on a ramble or nature walk with a purpose.
4. Learn the Green Cross Code and show that you can cross a road safely."
My Outdoors,Challenge Awards,Challenge Award,"Fall asleep under the stars on your first proper camp, learn to identify different animals and plants and explore the great outdoors.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Go on a sleepover or a camp with other Beavers, and do at least two of these: help put up a tent, collect wood and help to build a fire, cook something on a fire ,sing songs around a fire, wash up after dinner, set up your bed and sleeping bag, play a wide game
2. Learn how to tie three simple knots.
3. Show that you: know what to do if someone has an accident, know why it is important to tell an adult when an accident happens, can do simple first aid for someone who has a cut or bruise
4. Take part in an activity using natural things like leaves, bark, twigs, sand or rocks.
5. Point out and name five different types of animal, insect, bird or fish that you might find near where you live.
6. Make something to help animals in the wild."
My Skills,Challenge Awards,Challenge Award,Your body and mind are the most precious instruments you'll ever own. Get the cogs whirring and move your feet! It's time to develop some new skills.,Complete ALL 8 requirements,"Complete ALL of the following:
1. Show a new Beaver how to play a game you know and like.
2. Take part in three activities on how to keep your body fit and healthy
3. Do two creative activities
4. Learn a new song and sing it
5. Learn and use at least three of these skills: earn your own address and phone number, tie your shoelaces, decorate some cakes or biscuits, set an alarm clock to get up at the right time in the morning, old or roll your scarf, make your bed, keep your bedroom tidy, light a candle, something similar which you agree with your leader
6. Invent a machine and show other Beavers how it works.
7. With a team, complete at least two problem-solving missions set by your leader.
8. Go somewhere new, then find out five facts about something new."
My World,Challenge Awards,Challenge Award,"You don't have travel far and wide to learn about how the world works. Discover a range of exciting cultures and traditions, right on your doorstop.",Complete ALL 7 requirements,"Complete ALL of the following:
1. Learn about what makes up your local community and meet someone who serves your community such as a police officer, lifeboat crew, a coastguard, firefighter, youth worker or nurse.
2. Complete an activity to help people in your local community.
3. Take part in at least one activity that reflects England, Northern Ireland, Scotland, Wales, or your part of the UK.
4. Find out about, and take part in, an act of worship, reflection or celebration.
5. Discuss your Beaver Promise to do your best and how your Promise can help remind you to do good things in your community.
6. Do at least one activity to help you learn about the natural world around you.
7. Take part in an activity from another country."
Personal,Challenge Awards,Challenge Award,Everyone finds different things easy or tricky. Choose two personal challenges you'd love to accomplish and dive right in.,Complete ALL 2 requirements,"Complete ALL of the following:
1. Personal Challenge 1
2. Personal Challenge 1"
Teamwork,Challenge Awards,Challenge Award,"Two hands are better than one. Four hands are better than two. Gather into a team with your fellow Beavers, and accomplish something awesome together.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Take part in at least four different team games.
2. Work with other Beaver Scouts to make something or complete a challenge or activity together.
3. Show your leader that you are a helpful team member.
4. Take part in at least two Log Chews.
5. Be a leader in an activity or captain of a team.
6. Show that you are a good friend."
Earth Tribe Award - Beavers,Core Badges,Earth Tribe,,Choose 1 of 3 options,"Choose 1 of the following options:

Champions for Nature:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Go Solar:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Tide Turners:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world"
Lodge Leader,Core Badges,Leadership,"Within their Colony, Beavers join a Lodge - a smaller group sometimes led by a peer leader (called Lodge Leaders, Lodge Friends, or Junior Leaders). These Beavers take on extra duties like helping newcomers and running games, usually for one term so everyone gets a turn. They earn leadership stripes to celebrate their service.RetryClaude can make mistakes. Please double-check responses.",Manually awarded,No formal requirements - awarded by leader discretion
Membership Badge - Beavers,Core Badges,Activity,"Once you've made your Promise, you'll earn your Membership Award, featuring an image of the fleur de lis. This is the international Scout symbol, worn by Scouts all over the world.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Going to at least four meetings
2. 2. Learn about joining your Colony
3. 3. Become a Beaver Scout by making the Promise."
Moving On,Core Badges,Moving On,"Between the ages of 7½ and 8½, it's usually time for Beavers to become Cubs. Complete this award to get to know your new leaders, make new friends and get a taste of what Cubs is really like before the big move. ",Manually awarded,No formal requirements - awarded by leader discretion
The YouShape Award - Central Badge,Core Badges,YouShape,"This badge is all about thinking about what you want to achieve, setting a goal, and making it happen.",Complete ALL 1 requirements,"Complete ALL of the following:
1. Choose one thing you’d like to improve at Beavers. Work with a parent or carer, Young Leader, or leader to make it happen. This could be learning a new skill, developing your current talents or interests, or changing something about Beavers."
The YouShape Award - Lead,Core Badges,YouShape,"Now it’s time to take the lead – think supporting others, delivering your programme, and stepping up on nights away. Complete at least one of the following requirements. You should make your own decisions about which requirement(s) you'd like to achieve.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Help a new Beaver to feel welcome in your Colony.
2. Lead an activity during a meeting with the help of a Young Leader or adult volunteer.
3. Lead a Log Chew for your Colony.
4. On a camp, lead a game, song, or activity with the help of a Young Leader or adult volunteer."
The YouShape Award - Plan,Core Badges,YouShape,"This badge is all about thinking creatively, working together, and planning some exciting activities for your programme. Complete at least one of the following requirements. You should make your own decisions about which requirement(s) you'd like to achieve.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Think of an idea for a camp or trip and tell a leader about it.
2. Share an idea during a Log Chew.
3. Choose a theme for a Beaver meeting with your leader.
4. Help create a new game for other Beavers."
The YouShape Award - Represent,Core Badges,YouShape,"Think about how you’ll represent your group – you could engage your community, invite some friends to join the fun, or chat to your Trustee Board. Complete at least one of the following requirements. You should make your own decisions about which requirement(s) you'd like to achieve.",Complete 1 of 4 requirements,"Complete 1 of the following:
1. Tell your Group Trustee Board what you like and don’t like about Beavers.
2. Bring a friend to Beavers and help them to give it a go.
3. Tell a leader  about something you’ve learned at Beavers that you could use to help people in your community.
4. Write to a local decision maker, tell them what you like about Beavers, and ask them to help Scouts in your area."